id;schoolId;schoolType;sex;scorePISAMath;scorePISARead;scorePISAScie;age;scoreKKS;scoreKNS;scoreTMR;scoreKKS_5cat;score5KNS_5cat;scoreTMR_5cat;parEdu;hisei;noPersHous;escs;wealth;income;hedres;cultpos;homepos;studrel;disclima;libuse;ictres;usesch;attcomp;rfsintrp;rfsfumat
2278;106;LP;female;508,87;552,77;439,81;17,2;151;36;56;low;very low;high;11;43;4;-0,496;-0,722;5,3;1,049;1,314;0,007;-0,308;0,351;-0,456;0,318;-0,792;0,861;-0,962;-1,690
2279;106;LP;female;499,93;499,34;531,64;17,6;184;49;42;medium;medium;low;11;51;3;-0,861;-1,293;3,5;-1,278;-0,560;-1,457;-0,625;0,026;0,285;-0,782;0,785;-0,108;-0,078;0,511
2280;106;LP;female;483,46;516,76;492,53;17,7;147;39;43;low;low;low;12;32;5;-0,645;-0,250;7,5;1,049;0,311;0,007;-0,625;0,927;0,081;0,318;-0,097;0,861;2,215;0,801
2281;106;LP;male;576,16;543,21;505,57;17,5;202;48;49;high;medium;medium;11;39;6;-0,816;-1,116;4,0;1,049;1,314;-0,535;0,666;0,642;0,675;-0,782;0,563;0,861;0,749;1,621
2282;106;LP;male;538,67;560,82;532,21;17,9;171;39;48;medium;low;medium;12;40;5;-0,646;-0,928;4,6;0,078;1,314;-0,535;0,166;0,026;-1,847;-0,782;-0,792;0,861;-0,962;-1,690
2283;106;LP;male;550,12;547,84;523,78;17,0;144;43;49;low;low;medium;11;40;5;-0,790;-0,722;5,3;-0,599;1,314;-0,535;-0,308;-0,287;-0,217;-0,782;-1,644;0,861;0,749;1,621
2284;106;LP;male;423,07;407,88;417,96;17,3;166;51;48;low;medium;medium;12;33;6;-0,376;0,767;15,8;0,078;0,311;0,622;-0,308;-0,776;0,970;0,318;-1,644;-0,108;-1,674;0,801
2285;106;LP;male;429,50;395,28;427,93;17,2;210;38;42;high;low;low;11;32;7;-0,370;0,767;15,8;1,049;1,314;1,069;-0,308;0,026;0,820;0,318;1,163;0,861;-0,719;-0,051
2286;106;LP;male;525,02;514,10;473,93;18,3;188;51;51;medium;medium;medium;11;51;5;-0,496;-0,928;4,6;0,078;1,314;-0,535;0,166;0,927;-0,456;0,318;-0,378;-0,108;;
2287;106;LP;male;514,83;508,26;468,57;17,2;164;51;46;low;medium;medium;11;45;4;-0,589;-0,722;5,3;1,049;-0,560;-0,363;-0,873;0,927;1,133;0,318;-0,378;-0,108;-0,078;0,801
2288;106;LP;male;345,11;350,34;304,47;17,2;175;48;32;medium;medium;very low;16;66;5;0,996;0,251;10,8;1,049;0,311;0,410;1,340;1,838;1,321;0,318;;-1,417;2,215;1,142
2289;106;LP;male;545,10;526,00;539,88;17,2;146;45;52;low;medium;medium;11;43;6;-0,417;-0,250;7,5;1,049;1,314;0,206;-0,873;-0,287;-0,456;0,318;-0,378;-0,108;-0,078;-0,051
2290;106;LP;male;461,81;453,30;509,40;17,8;175;50;45;medium;medium;medium;11;33;5;-1,102;-1,470;3,1;1,049;1,314;-0,852;-0,625;0,927;0,451;0,318;0,678;0,861;-0,078;0,235
2291;106;LP;male;392,32;395,88;381,73;17,8;240;46;41;very high;medium;low;11;33;5;-1,220;-1,658;2,7;1,049;0,311;-1,152;-1,290;0,026;-0,049;0,318;-0,792;0,861;-0,719;0,235
2292;106;LP;male;374,60;421,88;336,87;17,5;183;55;39;medium;high;low;11;32;7;-0,864;0,251;10,8;-1,887;0,311;-0,183;-0,873;0,026;-0,864;1,325;-1,644;0,861;-0,078;0,235
2293;106;LP;male;579,92;534,95;583,78;18,1;110;43;50;very low;low;medium;12;53;5;-0,363;-0,722;5,3;0,078;-0,560;-0,697;-1,089;0,026;-0,049;0,318;-0,378;-0,108;-0,719;-1,690
2294;106;LP;male;605,17;550,59;571,70;17,2;190;51;53;high;medium;high;11;45;8;-0,589;-0,928;4,6;0,078;1,314;-0,363;-1,290;1,262;1,321;-0,782;-0,097;-0,108;1,230;-0,051
2295;106;LP;male;525,02;518,43;563,08;17,8;151;53;44;low;high;low;16;44;4;0,176;0,000;9,0;-0,599;0,311;-0,183;-0,625;0,927;-0,217;-0,782;0,116;0,861;-0,292;1,142
2296;124;T;male;396,09;359,53;324,98;;;;;;;;12;45;3;-0,373;-0,250;7,5;1,049;0,311;-0,183;-1,489;-0,776;1,036;0,318;0,785;-2,440;2,215;2,680
2297;124;T;male;418,21;369,36;510,93;17,3;157;47;45;low;medium;medium;11;;6;-0,559;0,103;9,7;1,049;1,314;0,536;-2,276;-1,918;0,528;-0,856;1,630;-2,440;-0,078;0,235
2298;124;T;male;400,48;373,32;493,68;17,2;154;53;37;low;high;very low;12;56;4;0,510;1,857;35,1;0,078;0,311;1,312;-0,625;0,026;-1,847;1,325;0,678;0,861;-1,257;1,142
2299;124;T;male;317,51;313,82;335,91;;;;;;;;11;25;4;-0,557;0,767;15,8;1,049;0,311;1,069;0,166;-1,211;0,970;1,325;2,306;0,861;;
2300;124;T;male;368,33;305,13;394,76;;;;;;;;11;;2;-0,739;-0,494;6,3;1,049;-0,560;-0,363;-1,089;0,351;0,894;0,318;1,072;-0,751;0,136;0,801
